iter	MultiClass
0	0.6580460553
1	0.6270054491
2	0.5982454591
3	0.5765975556
4	0.5564777618
5	0.5390068766
6	0.5234525244
7	0.509426762
8	0.4978965708
9	0.4853667296
10	0.4746312677
11	0.4660266966
12	0.458001148
13	0.4508412603
14	0.4442312034
15	0.4382891017
16	0.4321149709
17	0.4274306561
18	0.4221969354
19	0.4181213511
20	0.4125272358
21	0.4090020502
22	0.4055877899
23	0.4022893774
24	0.3988870075
25	0.3960494416
26	0.3926815381
27	0.3905742351
28	0.3885007155
29	0.385758952
30	0.3835310406
31	0.3812014871
32	0.3789292617
33	0.3773987323
34	0.3754599065
35	0.3733652549
36	0.3711696388
37	0.3696516569
38	0.3678874446
39	0.3660942179
40	0.3644843562
41	0.3630865672
42	0.3614526919
43	0.35977264
44	0.358342572
45	0.356811418
46	0.3557068845
47	0.3540987464
48	0.3530254582
49	0.3519598571
50	0.3513743295
51	0.3501034952
52	0.3489747066
53	0.3476456923
54	0.3468464195
55	0.3457844754
56	0.3450547519
57	0.344390445
58	0.3433528977
59	0.3423238436
60	0.3415180203
61	0.3410104706
62	0.3400205537
63	0.3388380009
64	0.3379005844
65	0.3368720451
66	0.3361813679
67	0.3355870735
68	0.334382303
69	0.3335374385
70	0.3329909595
71	0.3321104703
72	0.3316002445
73	0.3310976361
74	0.3300483105
75	0.3295056533
76	0.328675723
77	0.3278764631
78	0.3270047768
79	0.3264561493
80	0.3256779485
81	0.3250457445
82	0.3245131219
83	0.3241499607
84	0.3230255416
85	0.3226050648
86	0.3217982379
87	0.3210660983
88	0.3204796626
89	0.3198615172
90	0.3190776706
91	0.3185047405
92	0.3179119053
93	0.3173007831
94	0.3166594319
95	0.3160709908
96	0.315582387
97	0.3151450577
98	0.3145166201
99	0.3137849546
