iter	Passed	Remaining
0	37	3693
1	51	2545
2	65	2109
3	81	1945
4	104	1979
5	121	1905
6	137	1820
7	150	1727
8	161	1634
9	174	1570
10	187	1513
11	200	1472
12	212	1423
13	225	1382
14	237	1345
15	252	1326
16	266	1298
17	279	1271
18	290	1239
19	306	1227
20	327	1231
21	352	1248
22	378	1267
23	399	1265
24	419	1258
25	445	1267
26	469	1268
27	486	1250
28	500	1224
29	513	1198
30	526	1172
31	538	1145
32	552	1121
33	564	1095
34	577	1072
35	589	1048
36	601	1023
37	613	1001
38	626	980
39	640	960
40	651	937
41	663	916
42	678	898
43	690	879
44	704	860
45	717	842
46	730	823
47	744	806
48	762	793
49	780	780
50	793	762
51	805	743
52	819	726
53	832	708
54	843	689
55	855	671
56	873	658
57	900	652
58	925	643
59	949	632
60	971	621
61	995	610
62	1021	600
63	1053	592
64	1078	580
65	1092	562
66	1106	545
67	1120	527
68	1134	509
69	1147	491
70	1160	473
71	1171	455
72	1183	437
73	1197	420
74	1210	403
75	1223	386
76	1235	368
77	1247	351
78	1260	334
79	1273	318
80	1284	301
81	1299	285
82	1313	268
83	1326	252
84	1340	236
85	1353	220
86	1365	204
87	1379	188
88	1392	172
89	1406	156
90	1426	141
91	1452	126
92	1477	111
93	1501	95
94	1516	79
95	1527	63
96	1545	47
97	1562	31
98	1580	15
99	1597	0
